genotype,gene,p7,p10,p14,p21
wt,Crx,4.962638236,5.227402298,5.262214367,5.29
ehet,Crx,5.15298326,5.825,5.733318873,6.515
ehom,Crx,5.404184777,5.43122287,6.150146791,6.7125
khet,Crx,5.933073063,5.646459801,5.786947993,6.4525
khom,Crx,5.204751487,5.95679317,6.364099291,7.065
wt,Nrl,5.599126292,6.616513998,6.379366076,5.626666667
ehet,Nrl,6.374228767,6.94,6.541878045,6.9225
ehom,Nrl,6.638187546,6.535645834,7.415095883,7.7575
khet,Nrl,7.223028241,7.171357422,7.603134816,7.7475
khom,Nrl,6.864827504,8.393324409,9.643832491,12.4825
wt,Rho,4.449497412,4.974951065,1.557484776,0.433333333
ehet,Rho,4.448386579,3.3,2.141316693,1.3625
ehom,Rho,5.387903163,3.759383542,2.913637245,3.0725
khet,Rho,12.3749558,6.100404069,5.989745944,5.695
khom,Rho,11.48720347,13.0750659,15.3624347,14.95